,N,cost,precision,recall,f1,auc,mcc,gmeans
0,"['on', 0.1, 0.2]",5789.46±29.34,0.75±0.02,0.12±0.02,0.2±0.03,0.45±0.01,0.24±0.03,0.34±0.03
0,"['cs', 0.1, 0.2]",5902.33±31.76,0.71±0.02,0.13±0.0,0.22±0.01,0.44±0.0,0.24±0.01,0.36±0.01
0,"['nn', 0.1, 0.2]",5866.0,0.74,0.13,0.22,0.44,0.25,0.36
0,"['spo', 0.1, 0.2]",6554.0,0.25,0.05,0.08,0.5,0.01,0.22
1,"['on', 0.1, 0.8]",4186.74±24.8,0.72±0.03,0.12±0.03,0.2±0.05,0.45±0.01,0.24±0.03,0.34±0.04
1,"['cs', 0.1, 0.8]",4314.67±73.44,0.56±0.01,0.42±0.01,0.48±0.01,0.34±0.01,0.36±0.01,0.62±0.01
1,"['nn', 0.1, 0.8]",4223.0,0.57,0.43,0.49,0.33,0.38,0.63
1,"['spo', 0.1, 0.8]",6257.0,0.23,0.18,0.21,0.49,0.01,0.39
2,"['on', 0.2, 0.5]",4718.6±30.24,0.73±0.02,0.15±0.01,0.25±0.02,0.43±0.01,0.27±0.01,0.38±0.02
2,"['cs', 0.2, 0.5]",4877.67±65.62,0.65±0.01,0.3±0.01,0.41±0.01,0.37±0.01,0.35±0.01,0.54±0.01
2,"['nn', 0.2, 0.5]",4800.0,0.67,0.31,0.43,0.37,0.36,0.55
2,"['spo', 0.2, 0.5]",6394.0,0.24,0.12,0.16,0.5,0.01,0.33
3,"['on', 0.6, 1.1]",3887.66±23.59,0.63±0.01,0.36±0.01,0.46±0.01,0.35±0.0,0.37±0.01,0.58±0.01
3,"['cs', 0.6, 1.1]",3988.33±58.12,0.48±0.0,0.52±0.01,0.5±0.01,0.32±0.0,0.34±0.01,0.66±0.01
3,"['nn', 0.6, 1.1]",3954.0,0.48,0.52,0.5,0.32,0.35,0.66
3,"['spo', 0.6, 1.1]",6139.0,0.23,0.25,0.24,0.5,0.01,0.44
4,"['on', 0.7, 1.0]",3964.52±28.25,0.6±0.01,0.4±0.01,0.48±0.01,0.34±0.0,0.38±0.01,0.61±0.01
4,"['cs', 0.7, 1.0]",4054.83±72.49,0.51±0.01,0.49±0.01,0.5±0.01,0.32±0.01,0.36±0.01,0.65±0.01
4,"['nn', 0.7, 1.0]",4008.0,0.51,0.5,0.5,0.32,0.36,0.65
4,"['spo', 0.7, 1.0]",6181.0,0.23,0.23,0.23,0.5,0.01,0.42
5,"['on', 0.8, 1.4]",3710.14±23.13,0.57±0.01,0.43±0.01,0.49±0.01,0.33±0.0,0.37±0.01,0.63±0.01
5,"['cs', 0.8, 1.4]",3817.17±13.64,0.43±0.0,0.59±0.0,0.49±0.0,0.32±0.0,0.33±0.0,0.67±0.0
5,"['nn', 0.8, 1.4]",3793.0,0.43,0.59,0.5,0.32,0.33,0.68
5,"['spo', 0.8, 1.4]",6015.0,0.23,0.32,0.26,0.5,0.01,0.47
6,"['on', 0.9, 1.1]",3880.26±23.82,0.54±0.01,0.47±0.01,0.5±0.0,0.32±0.0,0.37±0.01,0.64±0.0
6,"['cs', 0.9, 1.1]",3988.33±58.12,0.48±0.0,0.52±0.01,0.5±0.01,0.32±0.0,0.34±0.01,0.66±0.01
6,"['nn', 0.9, 1.1]",3954.0,0.48,0.52,0.5,0.32,0.35,0.66
6,"['spo', 0.9, 1.1]",6139.0,0.23,0.25,0.24,0.5,0.01,0.44
7,"['on', 1.1, 1.3]",3756.16±27.54,0.49±0.01,0.52±0.01,0.51±0.01,0.32±0.0,0.36±0.01,0.67±0.0
7,"['cs', 1.1, 1.3]",3865.33±40.57,0.44±0.0,0.56±0.01,0.5±0.0,0.32±0.0,0.33±0.01,0.67±0.0
7,"['nn', 1.1, 1.3]",3830.0,0.45,0.57,0.5,0.32,0.34,0.67
7,"['spo', 1.1, 1.3]",6044.0,0.23,0.3,0.26,0.5,0.01,0.46
