,N,cost,precision,recall,f1,auc,mcc,gmeans
0,"['on', 0.1, 0.2]",4108.54±14.52,0.87±0.01,0.18±0.0,0.3±0.0,0.42±0.0,0.28±0.0,0.42±0.0
0,"['cs', 0.1, 0.2]",4181.67±29.49,0.83±0.02,0.17±0.01,0.28±0.01,0.43±0.0,0.24±0.01,0.4±0.01
0,"['nn', 0.1, 0.2]",4210.0,0.82,0.16,0.28,0.43,0.24,0.4
0,"['spo', 0.1, 0.2]",4618.0,0.48,0.1,0.16,0.49,0.02,0.3
1,"['on', 0.1, 0.8]",2320.22±13.4,0.72±0.0,0.58±0.0,0.64±0.0,0.3±0.0,0.42±0.0,0.69±0.0
1,"['cs', 0.1, 0.8]",2379.0±38.4,0.72±0.01,0.57±0.01,0.63±0.01,0.3±0.0,0.41±0.01,0.68±0.0
1,"['nn', 0.1, 0.8]",2396.0,0.71,0.57,0.63,0.31,0.4,0.68
1,"['spo', 0.1, 0.8]",3634.0,0.45,0.36,0.4,0.5,0.01,0.48
2,"['on', 0.2, 0.5]",3094.46±12.89,0.79±0.01,0.4±0.0,0.53±0.0,0.34±0.0,0.38±0.0,0.61±0.0
2,"['cs', 0.2, 0.5]",3141.5±19.21,0.79±0.0,0.39±0.0,0.52±0.0,0.34±0.0,0.37±0.0,0.6±0.0
2,"['nn', 0.2, 0.5]",3108.0,0.8,0.4,0.53,0.34,0.38,0.61
2,"['spo', 0.2, 0.5]",4072.0,0.48,0.24,0.32,0.49,0.03,0.43
3,"['on', 0.6, 1.1]",1652.38±12.8,0.66±0.01,0.75±0.0,0.7±0.0,0.28±0.0,0.43±0.01,0.72±0.0
3,"['cs', 0.6, 1.1]",1731.17±29.25,0.65±0.0,0.73±0.01,0.69±0.0,0.29±0.0,0.41±0.01,0.71±0.0
3,"['nn', 0.6, 1.1]",1762.0,0.64,0.73,0.68,0.3,0.4,0.7
3,"['spo', 0.6, 1.1]",3088.0,0.46,0.5,0.48,0.49,0.02,0.51
4,"['on', 0.7, 1.0]",1836.66±10.51,0.67±0.0,0.7±0.0,0.69±0.0,0.29±0.0,0.43±0.0,0.71±0.0
4,"['cs', 0.7, 1.0]",1909.67±24.75,0.67±0.0,0.68±0.01,0.68±0.0,0.29±0.0,0.42±0.01,0.71±0.0
4,"['nn', 0.7, 1.0]",1899.0,0.68,0.69,0.68,0.29,0.42,0.71
4,"['spo', 0.7, 1.0]",3294.0,0.45,0.45,0.45,0.49,0.01,0.5
5,"['on', 0.8, 1.4]",1325.68±11.52,0.59±0.0,0.86±0.0,0.7±0.0,0.31±0.0,0.39±0.0,0.66±0.0
5,"['cs', 0.8, 1.4]",1383.17±24.12,0.58±0.0,0.84±0.0,0.69±0.0,0.32±0.0,0.37±0.01,0.66±0.0
5,"['nn', 0.8, 1.4]",1409.0,0.58,0.84,0.68,0.33,0.36,0.65
5,"['spo', 0.8, 1.4]",2668.0,0.44,0.62,0.52,0.5,0.0,0.48
6,"['on', 0.9, 1.1]",1655.22±12.15,0.66±0.01,0.75±0.0,0.7±0.0,0.28±0.0,0.43±0.01,0.72±0.0
6,"['cs', 0.9, 1.1]",1731.17±29.25,0.65±0.0,0.73±0.01,0.69±0.0,0.29±0.0,0.41±0.01,0.71±0.0
6,"['nn', 0.9, 1.1]",1762.0,0.64,0.73,0.68,0.3,0.4,0.7
6,"['spo', 0.9, 1.1]",3088.0,0.46,0.5,0.48,0.49,0.02,0.51
7,"['on', 1.1, 1.3]",1408.34±14.71,0.61±0.0,0.83±0.0,0.7±0.0,0.3±0.0,0.4±0.0,0.69±0.0
7,"['cs', 1.1, 1.3]",1471.5±19.14,0.6±0.0,0.81±0.0,0.69±0.0,0.31±0.0,0.39±0.01,0.68±0.0
7,"['nn', 1.1, 1.3]",1468.0,0.6,0.82,0.69,0.31,0.39,0.68
7,"['spo', 1.1, 1.3]",2814.0,0.45,0.58,0.5,0.5,0.01,0.5
